,fname,width,slice
14540,file1001023.h5,368,19
14541,file1001491.h5,368,41
14542,file1000643.h5,368,34
14543,file1000600.h5,368,0
21616,file1000643.h5,368,23
21617,file1000597.h5,368,14
21618,file1002444.h5,368,12
21619,file1002201.h5,368,12
21620,file1001942.h5,368,18
21621,file1002567.h5,368,39
21622,file1001410.h5,368,1
21623,file1000632.h5,368,7
21624,file1001209.h5,368,0
21625,file1001750.h5,368,2
21626,file1000682.h5,368,26
21627,file1001950.h5,368,19
21628,file1001654.h5,368,3
21629,file1000560.h5,368,12
21630,file1001814.h5,368,24
21631,file1001087.h5,368,25
1888,file1001721.h5,372,34
1889,file1002338.h5,372,13
1890,file1000043.h5,372,21
1891,file1002461.h5,372,6
1892,file1000374.h5,372,19
1893,file1001310.h5,372,15
1894,file1000721.h5,372,25
1895,file1002203.h5,372,25
1896,file1001975.h5,372,23
1897,file1001883.h5,372,9
1898,file1000755.h5,372,30
1899,file1002475.h5,372,32
1900,file1001765.h5,372,33
1901,file1000420.h5,372,27
1902,file1000248.h5,372,5
1903,file1000493.h5,372,24
9904,file1001975.h5,372,21
9905,file1002476.h5,372,19
9906,file1001706.h5,372,31
9907,file1000662.h5,372,8
9908,file1001722.h5,372,21
9909,file1000984.h5,372,5
9910,file1000448.h5,372,8
9911,file1000876.h5,372,1
9912,file1000509.h5,372,8
9913,file1001150.h5,372,33
9914,file1000723.h5,372,25
9915,file1000257.h5,372,14
9916,file1000768.h5,372,13
9917,file1001777.h5,372,25
9918,file1000919.h5,372,12
9919,file1002266.h5,372,6
26192,file1000180.h5,368,14
26193,file1001113.h5,368,29
26194,file1001910.h5,368,5
26195,file1001288.h5,368,9
26196,file1001750.h5,368,24
26197,file1001694.h5,368,27
26198,file1001402.h5,368,33
26199,file1002293.h5,368,31
26200,file1002326.h5,368,25
26201,file1000508.h5,368,22
26202,file1001318.h5,368,36
26203,file1000626.h5,368,20
26204,file1002333.h5,368,21
26205,file1001209.h5,368,19
26206,file1001673.h5,368,19
26207,file1002532.h5,368,29
16496,file1002098.h5,368,13
16497,file1001154.h5,368,18
16498,file1000339.h5,368,23
16499,file1000943.h5,368,20
16500,file1000089.h5,368,30
16501,file1001860.h5,368,22
16502,file1000794.h5,368,14
16503,file1001154.h5,368,9
16504,file1001806.h5,368,31
16505,file1000535.h5,368,4
16506,file1001388.h5,368,12
16507,file1001491.h5,368,10
16508,file1000138.h5,368,15
16509,file1001992.h5,368,8
16510,file1001728.h5,368,23
16511,file1001200.h5,368,4
12448,file1000015.h5,372,25
12449,file1001875.h5,372,28
12450,file1000904.h5,372,1
12451,file1002459.h5,372,3
12452,file1000472.h5,372,23
12453,file1001309.h5,372,31
12454,file1002517.h5,372,32
12455,file1001436.h5,372,20
12456,file1001173.h5,372,15
12457,file1000301.h5,372,0
12458,file1000865.h5,372,20
12459,file1001084.h5,372,4
12460,file1001688.h5,372,11
12461,file1000198.h5,372,13
12462,file1002238.h5,372,30
12463,file1000547.h5,372,30
304,file1002034.h5,372,18
305,file1000495.h5,372,5
306,file1000401.h5,372,8
307,file1001733.h5,372,24
308,file1001190.h5,372,23
309,file1001311.h5,372,5
310,file1002103.h5,372,11
311,file1001777.h5,372,37
312,file1000401.h5,372,12
313,file1001960.h5,372,14
314,file1001541.h5,372,6
315,file1002343.h5,372,10
316,file1000053.h5,372,17
317,file1002062.h5,372,5
318,file1001599.h5,372,15
319,file1001765.h5,372,22
4464,file1002459.h5,372,4
4465,file1001099.h5,372,25
4466,file1000347.h5,372,16
4467,file1000874.h5,372,14
4468,file1000970.h5,372,25
4469,file1001810.h5,372,11
4470,file1002103.h5,372,21
4471,file1001328.h5,372,27
4472,file1000053.h5,372,18
4473,file1000257.h5,372,3
4474,file1001953.h5,372,27
4475,file1001007.h5,372,2
4476,file1000317.h5,372,5
4477,file1002023.h5,372,18
4478,file1001765.h5,372,2
4479,file1000653.h5,372,6
9984,file1001795.h5,372,10
9985,file1002475.h5,372,0
9986,file1000315.h5,372,31
9987,file1000874.h5,372,36
9988,file1001310.h5,372,25
9989,file1001169.h5,372,12
9990,file1002175.h5,372,14
9991,file1000615.h5,372,16
9992,file1000602.h5,372,20
9993,file1000449.h5,372,28
9994,file1001544.h5,372,0
9995,file1001690.h5,372,2
9996,file1000005.h5,372,31
9997,file1001575.h5,372,32
9998,file1001777.h5,372,4
9999,file1000259.h5,372,31
24816,file1002341.h5,368,33
24817,file1000611.h5,368,0
24818,file1000742.h5,368,23
24819,file1001857.h5,368,8
24820,file1000058.h5,368,3
24821,file1000321.h5,368,28
24822,file1000057.h5,368,29
24823,file1002324.h5,368,22
24824,file1000116.h5,368,3
24825,file1000643.h5,368,8
24826,file1002286.h5,368,19
24827,file1000313.h5,368,3
24828,file1001120.h5,368,12
24829,file1001048.h5,368,11
24830,file1001228.h5,368,29
24831,file1001699.h5,368,15
4160,file1001588.h5,372,1
4161,file1000715.h5,372,17
4162,file1001194.h5,372,24
4163,file1001287.h5,372,4
4164,file1002458.h5,372,22
4165,file1002284.h5,372,13
4166,file1002012.h5,372,15
4167,file1000340.h5,372,2
4168,file1001173.h5,372,14
4169,file1002134.h5,372,12
4170,file1002338.h5,372,17
4171,file1000501.h5,372,26
4172,file1000167.h5,372,5
4173,file1001783.h5,372,29
4174,file1000195.h5,372,0
4175,file1001340.h5,372,9
8336,file1001979.h5,372,12
8337,file1000250.h5,372,1
8338,file1000248.h5,372,27
8339,file1000896.h5,372,19
8340,file1001149.h5,372,26
8341,file1002378.h5,372,18
8342,file1000776.h5,372,25
8343,file1001026.h5,372,17
8344,file1000970.h5,372,7
8345,file1000449.h5,372,0
8346,file1001582.h5,372,20
8347,file1001415.h5,372,26
8348,file1001582.h5,372,22
8349,file1001741.h5,372,19
8350,file1002343.h5,372,25
8351,file1001572.h5,372,21
8688,file1001836.h5,372,7
8689,file1001373.h5,372,31
8690,file1001588.h5,372,6
8691,file1002461.h5,372,8
8692,file1002229.h5,372,21
8693,file1001602.h5,372,1
8694,file1002245.h5,372,13
8695,file1000936.h5,372,19
8696,file1000566.h5,372,21
8697,file1001149.h5,372,29
8698,file1000964.h5,372,17
8699,file1000198.h5,372,41
8700,file1001627.h5,372,18
8701,file1001296.h5,372,31
8702,file1000317.h5,372,12
8703,file1002307.h5,372,28
29248,file1000486.h5,368,30
29249,file1002045.h5,368,24
29250,file1000065.h5,368,22
29251,file1000742.h5,368,26
29252,file1000048.h5,368,10
29253,file1000210.h5,368,22
29254,file1001905.h5,368,3
29255,file1002567.h5,368,27
29256,file1001200.h5,368,37
29257,file1002423.h5,368,26
29258,file1002425.h5,368,17
29259,file1002271.h5,368,7
29260,file1002093.h5,368,30
29261,file1000535.h5,368,23
29262,file1000508.h5,368,36
29263,file1001699.h5,368,20
3696,file1001799.h5,372,12
3697,file1000529.h5,372,22
3698,file1001568.h5,372,9
3699,file1000237.h5,372,28
3700,file1001721.h5,372,27
3701,file1001037.h5,372,13
3702,file1001960.h5,372,4
3703,file1001193.h5,372,7
3704,file1000964.h5,372,6
3705,file1001445.h5,372,16
3706,file1000265.h5,372,32
3707,file1000874.h5,372,18
3708,file1000834.h5,372,15
3709,file1001504.h5,372,1
3710,file1001867.h5,372,6
3711,file1002247.h5,372,14
29648,file1000563.h5,368,10
29649,file1000221.h5,368,13
29650,file1002133.h5,368,28
29651,file1000208.h5,368,16
29652,file1000778.h5,368,9
29653,file1002544.h5,368,1
29654,file1000354.h5,368,4
29655,file1001878.h5,368,12
29656,file1000931.h5,368,8
29657,file1000859.h5,368,14
29658,file1001176.h5,368,7
29659,file1001857.h5,368,11
29660,file1000307.h5,368,20
29661,file1002332.h5,368,26
29662,file1001283.h5,368,19
29663,file1001116.h5,368,4
27248,file1002334.h5,368,20
27249,file1002146.h5,368,23
27250,file1001333.h5,368,21
27251,file1002130.h5,368,8
27252,file1000807.h5,368,24
27253,file1002430.h5,368,3
27254,file1000115.h5,368,6
27255,file1001056.h5,368,27
27256,file1001186.h5,368,34
27257,file1000475.h5,368,28
27258,file1000550.h5,368,13
27259,file1001629.h5,368,18
27260,file1000242.h5,368,28
27261,file1002568.h5,368,7
27262,file1000161.h5,368,29
27263,file1002456.h5,368,31
31184,file1001244.h5,368,17
31185,file1001737.h5,368,1
31186,file1001176.h5,368,9
31187,file1000600.h5,368,30
31188,file1000242.h5,368,24
31189,file1002045.h5,368,9
31190,file1000592.h5,368,32
31191,file1001982.h5,368,16
31192,file1001989.h5,368,27
31193,file1000947.h5,368,32
31194,file1001982.h5,368,13
31195,file1000224.h5,368,1
31196,file1002554.h5,368,1
31197,file1000208.h5,368,33
31198,file1002096.h5,368,31
31199,file1000048.h5,368,18
34304,file1002566.h5,320,21
34305,file1002044.h5,320,2
34306,file1002044.h5,320,14
34307,file1002434.h5,320,0
34308,file1000801.h5,320,4
34309,file1001387.h5,320,2
34310,file1002434.h5,320,26
34311,file1002566.h5,320,10
34312,file1001666.h5,320,18
34313,file1002434.h5,320,31
34314,file1001773.h5,320,0
34315,file1000801.h5,320,34
34316,file1002434.h5,320,12
34317,file1001666.h5,320,15
34318,file1002000.h5,320,36
34319,file1002566.h5,320,16
12672,file1001575.h5,372,8
12673,file1000275.h5,372,5
12674,file1002378.h5,372,35
12675,file1001051.h5,372,10
12676,file1000833.h5,372,28
12677,file1001101.h5,372,6
12678,file1001902.h5,372,30
12679,file1000043.h5,372,10
12680,file1001909.h5,372,7
12681,file1001572.h5,372,25
12682,file1001909.h5,372,15
12683,file1000814.h5,372,3
12684,file1001617.h5,372,17
12685,file1001541.h5,372,10
12686,file1000298.h5,372,22
12687,file1000265.h5,372,4
10992,file1001026.h5,372,1
10993,file1002497.h5,372,28
10994,file1001393.h5,372,16
10995,file1000374.h5,372,4
10996,file1002396.h5,372,18
10997,file1001455.h5,372,39
10998,file1002231.h5,372,18
10999,file1002485.h5,372,5
11000,file1000275.h5,372,27
11001,file1002022.h5,372,24
11002,file1001948.h5,372,18
11003,file1000123.h5,372,5
11004,file1001513.h5,372,22
11005,file1000848.h5,372,9
11006,file1001145.h5,372,16
11007,file1000529.h5,372,21
17120,file1000262.h5,368,2
17121,file1001739.h5,368,21
17122,file1001372.h5,368,0
17123,file1000693.h5,368,23
17124,file1002170.h5,368,20
17125,file1002227.h5,368,23
17126,file1002356.h5,368,0
17127,file1001053.h5,368,23
17128,file1000313.h5,368,2
17129,file1002143.h5,368,20
17130,file1000485.h5,368,19
17131,file1001985.h5,368,22
17132,file1001950.h5,368,2
17133,file1001220.h5,368,3
17134,file1000461.h5,368,20
17135,file1000057.h5,368,23
11504,file1001340.h5,372,19
11505,file1001214.h5,372,15
11506,file1000449.h5,372,15
11507,file1000459.h5,372,31
11508,file1002485.h5,372,27
11509,file1000176.h5,372,15
11510,file1002229.h5,372,10
11511,file1000981.h5,372,5
11512,file1001722.h5,372,29
11513,file1002307.h5,372,29
11514,file1001858.h5,372,4
11515,file1001602.h5,372,2
11516,file1001944.h5,372,20
11517,file1002241.h5,372,11
11518,file1002238.h5,372,27
11519,file1002010.h5,372,29
20624,file1001985.h5,368,28
20625,file1000859.h5,368,17
20626,file1000550.h5,368,29
20627,file1001873.h5,368,19
20628,file1001196.h5,368,31
20629,file1000336.h5,368,7
20630,file1001752.h5,368,11
20631,file1001864.h5,368,28
20632,file1001750.h5,368,39
20633,file1000065.h5,368,29
20634,file1002232.h5,368,40
20635,file1002554.h5,368,12
20636,file1000508.h5,368,24
20637,file1001235.h5,368,31
20638,file1001723.h5,368,24
20639,file1001800.h5,368,10
27600,file1000563.h5,368,5
27601,file1002064.h5,368,32
27602,file1001382.h5,368,31
27603,file1001106.h5,368,4
27604,file1000479.h5,368,2
27605,file1001056.h5,368,7
27606,file1001246.h5,368,21
27607,file1000643.h5,368,35
27608,file1001694.h5,368,19
27609,file1000339.h5,368,26
27610,file1000048.h5,368,34
27611,file1002371.h5,368,34
27612,file1000452.h5,368,23
27613,file1000753.h5,368,20
27614,file1000489.h5,368,24
27615,file1000807.h5,368,5
29936,file1002154.h5,368,18
29937,file1001053.h5,368,36
29938,file1000372.h5,368,1
29939,file1000296.h5,368,17
29940,file1002309.h5,368,2
29941,file1000098.h5,368,10
29942,file1002090.h5,368,22
29943,file1001985.h5,368,11
29944,file1002363.h5,368,5
29945,file1001491.h5,368,36
29946,file1000101.h5,368,33
29947,file1001528.h5,368,38
29948,file1001613.h5,368,37
29949,file1001746.h5,368,6
29950,file1002386.h5,368,31
29951,file1000743.h5,368,27
30800,file1001969.h5,368,27
30801,file1001307.h5,368,3
30802,file1002368.h5,368,13
30803,file1002494.h5,368,19
30804,file1001369.h5,368,22
30805,file1000383.h5,368,8
30806,file1001998.h5,368,13
30807,file1000244.h5,368,0
30808,file1002298.h5,368,15
30809,file1000161.h5,368,15
30810,file1002123.h5,368,17
30811,file1001116.h5,368,26
30812,file1001949.h5,368,1
30813,file1002296.h5,368,12
30814,file1000785.h5,368,13
30815,file1000090.h5,368,35
7008,file1000381.h5,372,3
7009,file1001475.h5,372,9
7010,file1000661.h5,372,28
7011,file1000300.h5,372,16
7012,file1000237.h5,372,16
7013,file1000141.h5,372,27
7014,file1000663.h5,372,16
7015,file1001051.h5,372,32
7016,file1000963.h5,372,30
7017,file1002054.h5,372,15
7018,file1002010.h5,372,4
7019,file1000936.h5,372,3
7020,file1000012.h5,372,4
7021,file1001121.h5,372,7
7022,file1001935.h5,372,6
7023,file1000834.h5,372,27
7792,file1001026.h5,372,0
7793,file1001287.h5,372,8
7794,file1002510.h5,372,2
7795,file1000172.h5,372,15
7796,file1001185.h5,372,2
7797,file1001455.h5,372,38
7798,file1000199.h5,372,4
7799,file1000988.h5,372,25
7800,file1002139.h5,372,24
7801,file1000873.h5,372,16
7802,file1002203.h5,372,30
7803,file1000109.h5,372,29
7804,file1001051.h5,372,16
7805,file1001599.h5,372,11
7806,file1002194.h5,372,33
7807,file1000740.h5,372,17
14336,file1000535.h5,368,12
14337,file1002043.h5,368,28
14338,file1001277.h5,368,8
14339,file1002151.h5,368,27
14340,file1002352.h5,368,23
14341,file1000605.h5,368,0
14342,file1002046.h5,368,20
14343,file1000236.h5,368,4
14344,file1000573.h5,368,23
14345,file1001701.h5,368,26
14346,file1000326.h5,368,11
14347,file1001217.h5,368,29
14348,file1001355.h5,368,11
14349,file1001036.h5,368,20
14350,file1001004.h5,368,29
14351,file1001540.h5,368,10
33568,file1001595.h5,368,6
33569,file1002030.h5,368,16
33570,file1002045.h5,368,0
33571,file1001778.h5,368,10
33572,file1001189.h5,368,7
33573,file1001849.h5,368,8
33574,file1001991.h5,368,20
33575,file1001299.h5,368,11
33576,file1001673.h5,368,13
33577,file1002298.h5,368,5
33578,file1002066.h5,368,32
33579,file1000485.h5,368,24
33580,file1001116.h5,368,0
33581,file1001062.h5,368,35
33582,file1001565.h5,368,22
33583,file1001424.h5,368,23
16512,file1000306.h5,368,24
16513,file1000836.h5,368,22
16514,file1001710.h5,368,3
16515,file1000331.h5,368,20
16516,file1000586.h5,368,25
16517,file1001042.h5,368,16
16518,file1001235.h5,368,17
16519,file1000931.h5,368,16
16520,file1001856.h5,368,22
16521,file1000794.h5,368,17
16522,file1001758.h5,368,25
16523,file1001992.h5,368,21
16524,file1000611.h5,368,21
16525,file1001748.h5,368,27
16526,file1001728.h5,368,3
16527,file1000245.h5,368,29
20736,file1001982.h5,368,19
20737,file1000403.h5,368,0
20738,file1000357.h5,368,33
20739,file1002409.h5,368,27
20740,file1001023.h5,368,4
20741,file1000372.h5,368,13
20742,file1002201.h5,368,6
20743,file1001498.h5,368,16
20744,file1000125.h5,368,2
20745,file1000716.h5,368,32
20746,file1001294.h5,368,26
20747,file1000173.h5,368,22
20748,file1000376.h5,368,25
20749,file1002227.h5,368,17
20750,file1002046.h5,368,1
20751,file1001998.h5,368,5
13328,file1001730.h5,388,34
13329,file1000293.h5,388,25
13330,file1000412.h5,388,30
13331,file1000293.h5,388,6
13332,file1000956.h5,388,22
13333,file1002435.h5,388,38
13334,file1000941.h5,388,8
13335,file1000514.h5,388,4
13336,file1001816.h5,388,0
13337,file1000941.h5,388,29
13338,file1001587.h5,388,13
13339,file1000956.h5,388,24
13340,file1001587.h5,388,32
13341,file1000941.h5,388,21
13342,file1002435.h5,388,27
13343,file1001816.h5,388,13
33904,file1000271.h5,640,10
33905,file1000271.h5,640,36
33906,file1000271.h5,640,19
33907,file1000271.h5,640,20
33908,file1000271.h5,640,21
33909,file1000271.h5,640,14
33910,file1000271.h5,640,43
33911,file1000271.h5,640,7
33912,file1000271.h5,640,0
33913,file1000271.h5,640,11
33914,file1000271.h5,640,37
33915,file1000271.h5,640,15
33916,file1000271.h5,640,4
33917,file1000271.h5,640,42
33918,file1000271.h5,640,45
33919,file1000271.h5,640,47
22912,file1001141.h5,368,11
22913,file1000753.h5,368,10
22914,file1001605.h5,368,18
22915,file1001209.h5,368,22
22916,file1002363.h5,368,32
22917,file1000149.h5,368,32
22918,file1001460.h5,368,35
22919,file1000626.h5,368,35
22920,file1001521.h5,368,24
22921,file1000424.h5,368,9
22922,file1001672.h5,368,1
22923,file1001382.h5,368,24
22924,file1000101.h5,368,14
22925,file1002073.h5,368,7
22926,file1001098.h5,368,15
22927,file1000204.h5,368,1
14016,file1001061.h5,368,2
14017,file1002066.h5,368,21
14018,file1002296.h5,368,7
14019,file1000461.h5,368,10
14020,file1000285.h5,368,41
14021,file1001385.h5,368,27
14022,file1000806.h5,368,19
14023,file1000336.h5,368,12
14024,file1001673.h5,368,30
14025,file1002228.h5,368,7
14026,file1001931.h5,368,37
14027,file1002146.h5,368,2
14028,file1000321.h5,368,14
14029,file1001120.h5,368,30
14030,file1001401.h5,368,22
14031,file1002227.h5,368,14
32800,file1001383.h5,368,35
32801,file1001333.h5,368,34
32802,file1001901.h5,368,11
32803,file1001391.h5,368,29
32804,file1001701.h5,368,8
32805,file1000045.h5,368,6
32806,file1001945.h5,368,12
32807,file1000640.h5,368,27
32808,file1000188.h5,368,26
32809,file1001426.h5,368,20
32810,file1000795.h5,368,7
32811,file1002358.h5,368,25
32812,file1000794.h5,368,13
32813,file1000384.h5,368,4
32814,file1000090.h5,368,2
32815,file1000249.h5,368,1
25136,file1002471.h5,368,16
25137,file1001259.h5,368,15
25138,file1002232.h5,368,34
25139,file1000365.h5,368,3
25140,file1002269.h5,368,4
25141,file1000188.h5,368,14
25142,file1000252.h5,368,15
25143,file1002283.h5,368,7
25144,file1000057.h5,368,36
25145,file1001029.h5,368,0
25146,file1000637.h5,368,21
25147,file1001638.h5,368,11
25148,file1002227.h5,368,21
25149,file1002146.h5,368,11
25150,file1000819.h5,368,7
25151,file1001694.h5,368,6
15440,file1000760.h5,368,21
15441,file1001942.h5,368,36
15442,file1000586.h5,368,1
15443,file1001370.h5,368,23
15444,file1000245.h5,368,5
15445,file1002287.h5,368,26
15446,file1001956.h5,368,30
15447,file1000742.h5,368,4
15448,file1001200.h5,368,17
15449,file1002170.h5,368,25
15450,file1001857.h5,368,21
15451,file1001746.h5,368,19
15452,file1000754.h5,368,27
15453,file1000557.h5,368,2
15454,file1001342.h5,368,5
15455,file1000742.h5,368,3
7200,file1000689.h5,372,12
7201,file1000401.h5,372,23
7202,file1000259.h5,372,17
7203,file1001296.h5,372,18
7204,file1001953.h5,372,13
7205,file1001185.h5,372,19
7206,file1002042.h5,372,15
7207,file1001149.h5,372,13
7208,file1000615.h5,372,14
7209,file1000449.h5,372,23
7210,file1002495.h5,372,17
7211,file1000601.h5,372,4
7212,file1000709.h5,372,9
7213,file1000493.h5,372,0
7214,file1000427.h5,372,8
7215,file1001379.h5,372,12
20640,file1001226.h5,368,32
20641,file1001402.h5,368,22
20642,file1002563.h5,368,3
20643,file1002251.h5,368,14
20644,file1001642.h5,368,27
20645,file1000836.h5,368,27
20646,file1002544.h5,368,34
20647,file1000021.h5,368,16
20648,file1001849.h5,368,17
20649,file1002130.h5,368,17
20650,file1002471.h5,368,35
20651,file1000193.h5,368,25
20652,file1000089.h5,368,33
20653,file1000836.h5,368,24
20654,file1001200.h5,368,11
20655,file1000101.h5,368,37
5184,file1001777.h5,372,12
5185,file1001037.h5,372,7
5186,file1001449.h5,372,14
5187,file1000610.h5,372,12
5188,file1000959.h5,372,19
5189,file1002241.h5,372,18
5190,file1001953.h5,372,17
5191,file1000001.h5,372,29
5192,file1002239.h5,372,8
5193,file1001953.h5,372,14
5194,file1000959.h5,372,17
5195,file1001575.h5,372,13
5196,file1001568.h5,372,22
5197,file1001485.h5,372,1
5198,file1000848.h5,372,8
5199,file1002076.h5,372,3
30480,file1002293.h5,368,23
30481,file1000057.h5,368,32
30482,file1000210.h5,368,29
30483,file1002227.h5,368,26
30484,file1000586.h5,368,6
30485,file1000561.h5,368,24
30486,file1002049.h5,368,22
30487,file1000600.h5,368,31
30488,file1000330.h5,368,6
30489,file1001022.h5,368,23
30490,file1000173.h5,368,29
30491,file1000383.h5,368,35
30492,file1001110.h5,368,27
30493,file1001491.h5,368,8
30494,file1001022.h5,368,27
30495,file1000261.h5,368,24
16,file1002038.h5,372,5
17,file1000317.h5,372,31
18,file1002378.h5,372,27
19,file1001445.h5,372,9
20,file1001907.h5,372,31
21,file1001707.h5,372,2
22,file1002001.h5,372,16
23,file1000501.h5,372,32
24,file1000821.h5,372,30
25,file1000459.h5,372,7
26,file1001504.h5,372,29
27,file1001986.h5,372,12
28,file1001147.h5,372,12
29,file1002422.h5,372,4
30,file1002509.h5,372,9
31,file1000963.h5,372,13
28928,file1002283.h5,368,6
28929,file1000777.h5,368,15
28930,file1001671.h5,368,31
28931,file1002089.h5,368,34
28932,file1002227.h5,368,6
28933,file1002523.h5,368,36
28934,file1000807.h5,368,3
28935,file1000244.h5,368,33
28936,file1000489.h5,368,4
28937,file1001196.h5,368,2
28938,file1001642.h5,368,25
28939,file1002094.h5,368,30
28940,file1001560.h5,368,21
28941,file1000558.h5,368,2
28942,file1000588.h5,368,8
28943,file1001993.h5,368,36
34272,file1001666.h5,320,1
34273,file1002000.h5,320,29
34274,file1000801.h5,320,22
34275,file1001666.h5,320,6
34276,file1001666.h5,320,11
34277,file1002044.h5,320,15
34278,file1000801.h5,320,15
34279,file1002566.h5,320,4
34280,file1002000.h5,320,31
34281,file1001666.h5,320,8
34282,file1000801.h5,320,12
34283,file1001387.h5,320,12
34284,file1001666.h5,320,4
34285,file1000801.h5,320,16
34286,file1002434.h5,320,22
34287,file1002044.h5,320,17
13648,file1000638.h5,370,33
13649,file1000638.h5,370,17
13650,file1000638.h5,370,26
13651,file1001805.h5,370,8
13652,file1000638.h5,370,34
13653,file1001805.h5,370,13
13654,file1000638.h5,370,5
13655,file1000638.h5,370,8
13656,file1000638.h5,370,18
13657,file1000638.h5,370,15
13658,file1000638.h5,370,14
13659,file1001805.h5,370,5
13660,file1000638.h5,370,11
13661,file1001805.h5,370,3
13662,file1001805.h5,370,20
13663,file1001805.h5,370,22
25360,file1002163.h5,368,24
25361,file1001520.h5,368,5
25362,file1000560.h5,368,0
25363,file1001141.h5,368,12
25364,file1000125.h5,368,35
25365,file1001385.h5,368,16
25366,file1000743.h5,368,12
25367,file1000211.h5,368,25
25368,file1001746.h5,368,4
25369,file1001565.h5,368,21
25370,file1001778.h5,368,3
25371,file1002518.h5,368,37
25372,file1001186.h5,368,1
25373,file1002089.h5,368,26
25374,file1000778.h5,368,13
25375,file1000481.h5,368,10
14096,file1002096.h5,368,19
14097,file1002071.h5,368,14
14098,file1002516.h5,368,32
14099,file1002325.h5,368,4
14100,file1002409.h5,368,13
14101,file1000331.h5,368,29
14102,file1001864.h5,368,19
14103,file1000180.h5,368,4
14104,file1000962.h5,368,37
14105,file1000090.h5,368,11
14106,file1001189.h5,368,28
14107,file1002170.h5,368,13
14108,file1000795.h5,368,23
14109,file1002304.h5,368,32
14110,file1000554.h5,368,5
14111,file1001545.h5,368,2
7040,file1000824.h5,372,12
7041,file1001722.h5,372,16
7042,file1002422.h5,372,1
7043,file1001436.h5,372,19
7044,file1000955.h5,372,29
7045,file1002185.h5,372,1
7046,file1000259.h5,372,16
7047,file1001963.h5,372,23
7048,file1001193.h5,372,26
7049,file1002422.h5,372,15
7050,file1002475.h5,372,34
7051,file1000015.h5,372,19
7052,file1000517.h5,372,33
7053,file1000933.h5,372,8
7054,file1001571.h5,372,23
7055,file1001350.h5,372,1
3568,file1000904.h5,372,0
3569,file1001706.h5,372,14
3570,file1001194.h5,372,35
3571,file1000504.h5,372,23
3572,file1000995.h5,372,19
3573,file1001944.h5,372,11
3574,file1002062.h5,372,29
3575,file1002359.h5,372,6
3576,file1000117.h5,372,17
3577,file1000259.h5,372,14
3578,file1001084.h5,372,19
3579,file1001690.h5,372,21
3580,file1002499.h5,372,4
3581,file1000808.h5,372,21
3582,file1002256.h5,372,29
3583,file1002510.h5,372,24
26992,file1001752.h5,368,32
26993,file1001102.h5,368,15
26994,file1002324.h5,368,0
26995,file1001800.h5,368,14
26996,file1002064.h5,368,35
26997,file1002388.h5,368,27
26998,file1001244.h5,368,8
26999,file1000365.h5,368,2
27000,file1000351.h5,368,17
27001,file1000111.h5,368,0
27002,file1001860.h5,368,20
27003,file1001561.h5,368,23
27004,file1001989.h5,368,36
27005,file1001042.h5,368,21
27006,file1000065.h5,368,8
27007,file1001266.h5,368,7
15520,file1002341.h5,368,8
15521,file1001120.h5,368,26
15522,file1002093.h5,368,38
15523,file1002030.h5,368,28
15524,file1001864.h5,368,6
15525,file1001426.h5,368,26
15526,file1002090.h5,368,32
15527,file1000592.h5,368,21
15528,file1002439.h5,368,22
15529,file1001942.h5,368,7
15530,file1001318.h5,368,7
15531,file1002154.h5,368,31
15532,file1001982.h5,368,7
15533,file1002325.h5,368,34
15534,file1001767.h5,368,26
15535,file1000021.h5,368,23
272,file1001602.h5,372,25
273,file1000610.h5,372,15
274,file1002335.h5,372,24
275,file1000755.h5,372,22
276,file1002338.h5,372,26
277,file1002010.h5,372,19
278,file1002300.h5,372,11
279,file1002500.h5,372,10
280,file1000043.h5,372,4
281,file1001855.h5,372,27
282,file1000504.h5,372,1
283,file1002194.h5,372,35
284,file1002229.h5,372,13
285,file1001731.h5,372,8
286,file1001392.h5,372,15
287,file1000973.h5,372,28
15072,file1001294.h5,368,31
15073,file1001613.h5,368,1
15074,file1001297.h5,368,18
15075,file1000585.h5,368,25
15076,file1000213.h5,368,27
15077,file1002099.h5,368,26
15078,file1002532.h5,368,8
15079,file1002449.h5,368,12
15080,file1001022.h5,368,5
15081,file1000354.h5,368,13
15082,file1002050.h5,368,5
15083,file1001266.h5,368,0
15084,file1001370.h5,368,22
15085,file1000400.h5,368,15
15086,file1000548.h5,368,28
15087,file1000778.h5,368,19
30304,file1001595.h5,368,18
30305,file1001333.h5,368,24
30306,file1002332.h5,368,13
30307,file1000127.h5,368,22
30308,file1001029.h5,368,20
30309,file1002440.h5,368,35
30310,file1000383.h5,368,23
30311,file1002123.h5,368,14
30312,file1000177.h5,368,26
30313,file1002456.h5,368,29
30314,file1001186.h5,368,3
30315,file1002342.h5,368,20
30316,file1001748.h5,368,32
30317,file1002358.h5,368,0
30318,file1000149.h5,368,24
30319,file1001285.h5,368,13
18896,file1001748.h5,368,36
18897,file1000742.h5,368,17
18898,file1000829.h5,368,17
18899,file1002361.h5,368,9
18900,file1002066.h5,368,33
18901,file1000180.h5,368,33
18902,file1002096.h5,368,33
18903,file1000559.h5,368,29
18904,file1000836.h5,368,25
18905,file1000428.h5,368,19
18906,file1001659.h5,368,27
18907,file1002432.h5,368,33
18908,file1002287.h5,368,13
18909,file1001629.h5,368,30
18910,file1000550.h5,368,22
18911,file1002432.h5,368,20
12144,file1001867.h5,372,7
12145,file1001348.h5,372,7
12146,file1002112.h5,372,18
